PERMNO,date,NAMEENDT,SHRCD,TICKER,COMNAM,SHRCLS,TSYMBOL,PRIMEXCH,PERMCO,RCRDDT,ACPERM,ACCOMP,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,NUMTRD,RETX
10107,2020-01-31,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,169.58000,172.39999,170.23000,36101415,-0.014759,170.17000,170.20000,172.21001,291884,-0.014759
10107,2020-02-03,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,170.39999,174.50000,174.38000,30077416,0.024379,174.38000,174.39000,170.42999,223867,0.024379
10107,2020-02-04,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,176.31000,180.64000,180.12000,36366707,0.032917,180.12000,180.14000,177.14000,272963,0.032917
10107,2020-02-05,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,178.41010,184.20000,179.89999,39122301,-0.001221,179.92000,179.94000,184.03000,325466,-0.001221
10107,2020-02-06,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,180.05901,183.81990,183.63000,27718679,0.020734,183.63000,183.64000,180.97000,232247,0.020734
10107,2020-02-07,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,182.48000,185.63000,183.89000,33491903,0.001416,183.91000,183.94000,182.84500,246570,0.001416
10107,2020-02-10,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,183.25000,188.84000,188.70000,35823223,0.026157,188.71001,188.75000,183.58000,262879,0.026157
10107,2020-02-11,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,183.50000,190.70000,184.44000,53086959,-0.022575,184.42999,184.44000,190.64999,478895,-0.022575
10107,2020-02-12,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,181.85001,185.85001,184.71001,47026738,0.001464,184.71001,184.72000,185.58000,380078,0.001464
10107,2020-02-13,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,182.87199,186.23000,183.71001,35263271,-0.005414,183.72000,183.75999,183.08000,293993,-0.005414
10107,2020-02-14,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,182.64999,185.41000,185.35001,23124599,0.008927,185.33000,185.35001,183.25000,182756,0.008927
10107,2020-02-18,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,185.50000,187.70000,187.23000,27833158,0.010143,187.22000,187.24001,185.60500,239377,0.010143
10107,2020-02-19,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,2020-02-20,,,186.47000,188.17999,187.28000,29968628,0.002991,187.27000,187.28999,188.06000,195277,0.000267
10107,2020-02-20,,11,MSFT,MICROSOFT CORP,,MSFT,Q,8048,,,,181.10001,187.25000,184.42000,36811424,-0.015271,184.32001,184.34000,186.95000,311420,-0.015271
