ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001569638-23-000005	162432	0001569638	028-15330			M Holdings Securities, Inc.
0001569638-23-000004	158688	0001730083	028-18427			M Financial Asset Management, Inc.
0000950123-23-008604	159276		028-05050	000106793	801-48923	Oaktree Capital Management, L.P.
0000950123-23-008602	166282		028-05050	000106793	801-48923	Oaktree Capital Management, L.P.
0000950123-23-008602	166283		028-21340	000290193	801-112570	Oaktree Fund Advisors, LLC
0000950123-23-008604	159277		028-21340	000290193	801-112570	Oaktree Fund Advisors, LLC
0001085146-23-003539	158655	0000096223	028-11122			Jefferies Financial Group Inc.
0001085146-23-003538	158861	0000096223	028-11122			Jefferies Financial Group Inc.
0001085146-23-003537	158844	0000096223	028-11122			Jefferies Financial Group Inc.
0001317724-23-000006	159326		028-17598			Russel Trust Company
0001317724-23-000005	161909		028-17598			Russell Trust Company
0001546531-23-000013	161312	0001546531	028-14937			Vitol Holding B.V.
0001546531-23-000013	161311	0001531879	028-14626			Teilinger Capital Ltd.
0001546531-23-000012	165735	0001531879	028-14626			Teilinger Capital Ltd.
0001845843-23-000003	160319	0001832158	028-20416	000300155	801-114975	SEAVIEW INVESTMENT MANAGERS LLC
0000950103-23-013338	158043	0001671122	028-18539			Atairos Group, Inc.
0000950103-23-013338	158044	0001671176	028-23365			Atairos Partners GP, Inc.
0000950103-23-013337	162521	0001671122	028-18539			Atairos Group, Inc.
0000950103-23-013337	162522	0001671176	028-23365			Atairos Partners GP, Inc.
0000950103-23-013334	165875	0001671122	028-18539			Atairos Group, Inc.
0000950103-23-013333	164770	0001671122	028-18539			Atairos Group, Inc.
0001756111-23-000024	159481	0001756111	028-18926			PEAK6 Investments LLC
0001756111-23-000025	157063	0001756111	028-18926			PEAK6 Investments LLC
0001756111-23-000022	160801	0001756111	028-18926			PEAK6 Investments LLC
0001756111-23-000021	156461	0001756111	028-18926			PEAK6 Investments LLC
0000949509-23-000012	166759	0001597857	028-17875			Hartree Partners, LP
0000949509-23-000012	166758	0001692234	028-17598			Russell Investments Group, Ltd.
0000950123-23-008375	163909		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008373	158080		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008370	163953		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008368	156812		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008367	157020		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008366	156585		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008362	163489		028-15811			SC CHINA HOLDING Ltd
0000950123-23-008360	160290		028-15811			SC CHINA HOLDING Ltd
0001455468-23-000004	158753		028-02462			Dean Investment Associates
0001667108-23-000005	164710	0001534653	028-17303			Skandinaviska Enskilda Banken AB (publ)
0001667108-23-000004	164682	0001534653	028-17303			Skandinaviska Enskilda Banken AB (publ)
0000927337-23-000014	156432	0000927337	028-17509			WOLVERINE TRADING, LLC
0000927337-23-000014	156433	0001279891	028-10687			WOLVERINE ASSET MANAGEMENT LLC
0000950123-23-008322	157251					Comerica Bank
0001977483-23-000004	159394	0000009634	028-00305			BOKF, NA
0001172661-23-003215	163502	0001965773		000122609	801-78187	Northeast Financial Group, Inc.
0001821268-23-000168	155658	0001713521	028-18105	000148828	801-96252	Bridge City Capital, LLC
0001821268-23-000168	155659	0000874791	028-02903	000107003	801-8825	CAMPBELL NEWMAN ASSET MANAGEMENT INC
0001821268-23-000168	155660	0001002152	028-05098	000107823	801-32238	COMPASS CAPITAL MANAGEMENT, INC
0001821268-23-000168	155661	0001455468	028-13367	000145666	801-68942	Dean Capital Management
0001821268-23-000168	155668	0001134283	028-10043	000108954	801-57995	SEIZERT CAPITAL PARTNERS, LLC
0001821268-23-000168	155663	0001424467	028-12654	000130023	801-62639	Lisanti Capital Growth, LLC
0001821268-23-000168	155664	0001911372	028-22239	000305152	801-117225	Meros Investment Management, LP
0001821268-23-000168	155665	0001389574	028-12426	000140159	801-66532	Nicholas Investment Partners, LP
0001821268-23-000168	155666	0001230765	028-10467	000125410	801-61905	RICE HALL JAMES & ASSOCIATES, LLC
0001821268-23-000168	155667	0001882572	028-21541	000283540	801-117635	Riverwater Partners LLC
0001821268-23-000168	155657	0001740837	028-19044	000283260	801-113312	AltraVue Capital, LLC
0001821268-23-000168	155662	0000201772	028-00878	000109962	801-55496	ESSEX INVESTMENT MANAGEMENT CO LLC
0000950123-23-008295	164554		028-12863			Spinnaker Capital Limited
0001317346-23-000009	163095	0001317346	028-11283			OTA Financial Group L.P.
0001317346-23-000008	165564	0001317346	028-11283			OTA Financial Group L.P.
0001336488-23-000003	160567	0000927971				BANK OF MONTREAL /CAN/
0000950123-23-008292	163908		028-17598			Russell Investments Group, Ltd
0001140361-23-039916	163256	0001080117	028-04321			Heitman Real Estate Securities LLC
0001140361-23-039914	158836	0001080117	028-04321			Heitman Real Estate Securities LLC
0001532155-23-000152	165507	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001532155-23-000151	166053	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001532155-23-000149	156144	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-23-000149	156142	0000807249	028-01887			GAMCO INVESTORS, INC. ET AL
0001532155-23-000149	156141	0000201772	028-00878			ESSEX INVESTMENT MANAGEMENT CO LLC
0001532155-23-000149	156140	0000829108	028-02204			Brandywine Global Investment Management, LLC
0001532155-23-000149	156139	0001920120	028-22489			AXA Investment Managers US Inc.
0001532155-23-000149	156143	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001532155-23-000148	165620	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-23-000147	166231	0001455253	028-13328			HS Management Partners, LLC
0001532155-23-000147	166232	0001034524	028-03687			POLEN CAPITAL MANAGEMENT LLC
0001532155-23-000147	166233	0000829108	028-02204			Brandywine Global Investment Management, LLC
0001532155-23-000147	166234	0001207017	028-10469			LAZARD ASSET MANAGEMENT LLC
0001532155-23-000147	166235	0000052388	028-01091			AMERICAN CENTURY INVESTMENT MANAGEMENT INC
0001532155-23-000147	166236	0001385495	028-12282			FIAM LLC
0001532155-23-000147	166237	0000813917	028-02013			HARRIS ASSOCIATES L P
0001532155-23-000147	166238	0001125816	028-06487			FIRST TRUST ADVISORS LP
0001532155-23-000147	166239	0000314965	028-00096			CAPITAL GUARDIAN TRUST CO
0001532155-23-000147	166240	0000030163	028-00127			BNY Mellon Investment Adviser, Inc.
0001532155-23-000147	166241	0001023875	028-06154			FRANKLIN MUTUAL ADVISERS LLC
0001532155-23-000147	166242	0001697233	028-17876			GQG Partners LLC
0001532155-23-000147	166243	0000860644	028-02634			Aristotle Capital Management, LLC
0001532155-23-000147	166244	0000812295	028-01343			JANUS HENDERSON INVESTORS US LLC
0001532155-23-000147	166245	0001920120	028-22489			AXA Investment Managers US Inc.
0001532155-23-000147	166246	0001163368	028-10952			PACIFIC INVESTMENT MANAGEMENT CO LLC
0001532155-23-000147	166247	0001333986	028-19172			Equitable Holdings, Inc.
0001532155-23-000147	166206	0001109448	028-10562			ALLIANCEBERNSTEIN L.P.
0001532155-23-000147	166207	0000313028	028-01006			BARROW HANLEY MEWHINNEY & STRAUSS LLC
0001532155-23-000147	166208	0001086363	028-04293			BLACKROCK FINANCIAL MANAGEMENT INC/DE
0001532155-23-000147	166209	0001305227	028-12016			BlackRock Investment Management, LLC
0001532155-23-000147	166210	0001348883	028-11611			Clearbridge Investments, LLC
0001532155-23-000147	166211	0001217541	028-10648			DIAMOND HILL CAPITAL MANAGEMENT INC
0001532155-23-000147	166212	0001102578	028-05269			EARNEST PARTNERS LLC
0001532155-23-000147	166213	0000898420	028-03578			FRANKLIN ADVISERS INC
0001532155-23-000147	166214	0000807249	028-01887			GAMCO INVESTORS, INC. ET AL
0001532155-23-000147	166215	0001519418	028-14519			Horizon Kinetics LLC
0001532155-23-000147	166216	0000020430	028-00255			Invesco Advisers, Inc.
0001532155-23-000147	166217	0000019617	028-00694			JPMORGAN CHASE & CO
0001532155-23-000147	166218	0000728100	028-00413			LORD, ABBETT & CO. LLC
0001532155-23-000147	166219	0000912938	028-04968			MASSACHUSETTS FINANCIAL SERVICES CO /MA/
0001532155-23-000147	166220	0001230193	028-11866			MORGAN STANLEY INVESTMENT MANAGEMENT INC
0001532155-23-000147	166221	0001170789	028-12454			POST ADVISORY GROUP LLC
0001532155-23-000147	166222	0001257442	028-11338			SSGA FUNDS MANAGEMENT INC
0001532155-23-000147	166223	0000080255	028-00115			PRICE T ROWE ASSOCIATES INC /MD/
0001532155-23-000147	166224	0001177719	028-10220			WESTFIELD CAPITAL MANAGEMENT CO LP
0001532155-23-000147	166225	0000944388	028-11685			1832 Asset Management L.P.
0001532155-23-000147	166226	0000312348	028-00398			LOOMIS SAYLES & CO L P
0001532155-23-000147	166227	0000902219	028-04557			WELLINGTON MANAGEMENT GROUP LLP
0001532155-23-000147	166228	0001229262	028-10981			GOLDMAN SACHS ASSET MANAGEMENT, L.P.
0001532155-23-000147	166229	0001086431	028-04379			FEDERATED GLOBAL INVESTMENT MANAGEMENT CORP
0001532155-23-000147	166230	0001021642	028-05840			VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.
0001104659-23-091901	157058	0001163744	028-10029	000111750	801-60133	Conestoga Capital Advisors, LLC
0001104659-23-091901	157060	0001080374	028-04485	000159227	801-72799	JAG CAPITAL MANAGEMENT, LLC
0001104659-23-091901	157059	0001839498	028-20533	000126248	801-112041	DCM Advisors, LLC
0001104659-23-091901	157061	0001365324	028-11946	000131684	801-63276	Numeric Investors LLC
