ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001839882-23-007472	165876	0001687953	028-17744			Winder Investment Pte Ltd
0001140361-23-013285	164243	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013285	164244	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013285	164245	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013284	155495	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013284	155496	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013284	155497	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013283	162572	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013283	162571	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013283	162570	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013281	165617	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013281	165618	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013281	165619	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013280	157381	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013280	157379	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013280	157380	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013279	157897	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013279	157898	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013279	157899	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013276	157331	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013276	157332	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013276	157330	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013274	156475	0000728618	028-00491			METROPOLITAN LIFE INSURANCE CO/NY
0001140361-23-013274	156474	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013274	156476	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
0001140361-23-013273	160970	0000931588	028-16107			PROVIDA PENSION FUND ADMINISTRATOR
0001140361-23-013273	160972	0001529735	028-18628	000142463	801-67314	MetLife Investment Management, LLC
